rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,693.60,90.40,14.99
2,MEPDL,Mount Everest Power Development Limited,797.60,104.00,14.99
3,NICSF,NIC Asia Select-30,8.85,0.55,6.63
4,MANDU,Mandu Hydropower Limited,840.00,39.00,4.87
5,TAMOR,Sanima Middle Tamor Hydropower Limited,481.80,22.30,4.85
6,SMHL,Super Madi Hydropower Limited,522.90,20.90,4.16
7,RLEL,Ridge Line Energy Limited,925.00,36.10,4.06
8,SHPC,Sanima Mai Hydropower Limited,514.00,20.00,4.05
9,NHPC,National Hydro Power Company Limited,272.00,9.00,3.42
10,MMF1,Mega Mutual Fund - 1,8.96,0.29,3.34
11,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,420.00,13.10,3.22
12,SPHL,Sayapatri Hydropower Limited,530.90,15.90,3.09
13,NBLD82,10% Nabil Bank Debenture 2082,1051.10,30.60,3.00
14,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1141.00,33.00,2.98
15,SBID83,10.25% Nepal SBI Bank Debenture 2083,1060.00,28.90,2.80
