rank,symbol,company_name,close,change,change_percent
1,KDBY,Kumari Dhanabriddhi Yojana,9.97,-1.08,-9.77
2,KEF,Kumari Equity Fund,10.01,-0.99,-9.00
3,KKHC,Khani Khola Hydropower Company Limited,278.80,-17.70,-5.97
4,ICFCD83,12% ICFC Finance Limited Debenture 2083,934.20,-49.10,-4.99
5,NIBLGF,NIBL Growth Fund,8.48,-0.41,-4.61
6,RMF1,RBB Mutual Fund 1,9.57,-0.43,-4.30
7,SAPDBL,Saptakoshi Development Bank Limited,713.90,-29.10,-3.92
8,NWCL,Nepal Warehousing Company Limited,646.50,-25.50,-3.79
9,HATHY,Hathway Investment Nepal Limited,581.00,-22.20,-3.68
10,MEHL,Manakamana Engineering Hydropower Limited,250.00,-9.00,-3.47
11,GRDBL,Green Development Bank Limited,979.50,-34.50,-3.40
12,CORBL,Corporate Development Bank Limited,994.00,-34.00,-3.31
13,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2548.00,-80.00,-3.04
14,SLCF,Sanima Large Cap Fund,9.70,-0.30,-3.00
15,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1455.00,-45.00,-3.00
