rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,95963390.80,599875446.80,695838837.60,-503912055.99999994,3909191.60
2,58,Naasa Securities Co. Ltd.,378869652.67,244062965.64,622932618.31,134806687.03000003,40656124.32
3,77,Nabil Stock Dealer Limited,352228422.40,27242841.90,379471264.30,324985580.5,1799627.00
4,49,Online Securities Limited,150063918.80,177650409.80,327714328.60,-27586491.0,22408172.60
5,48,Trishakti Securities Public Limited,142975303.10,176360171.70,319335474.80,-33384868.599999994,93009198.40
6,17,ABC Securities Pvt. Limited,188818893.59,113756625.01,302575518.60,75062268.58,13625186.60
7,45,Imperial Securities Co. Limited,116838957.70,157335275.30,274174233.00,-40496317.60000001,12528247.40
8,44,Dynamic Money Managers Securities Pvt.Ltd,163831177.40,101674693.10,265505870.50,62156484.30000001,7301273.40
9,34,Vision Securities Pvt.Limited,112692216.00,137759591.80,250451807.80,-25067375.800000012,6092822.80
10,42,Sani Securities Company Limited,102754369.70,94961537.50,197715907.20,7792832.200000003,6413545.80
11,14,Nepal Stock House Pvt. Limited,89069058.18,91233333.30,180302391.48,-2164275.11999999,1577696.00
12,32,Premier Securites Company Limited,86391575.40,86547518.20,172939093.60,-155942.79999999702,1170874.80
13,62,Capital Max Securities Limited,80165837.50,78091334.50,158257172.00,2074503.0,27735677.00
14,92,Roadshow securities limited,139586711.10,17933954.20,157520665.30,121652756.89999999,0.00
15,80,Indira Securities Pvt. Ltd,71711476.60,70478150.60,142189627.20,1233326.0,2599742.00
