rank,symbol,company_name,volume,ltp
1,ADBLB87,4% Agricultural Bond 2087,500000.00,1015.00
2,NSIF2,NMB Sulav Investment Fund - II,342164.00,11.00
3,SOHL,Solu Hydropower Limited,333263.00,699.00
4,TAMOR,Sanima Middle Tamor Hydropower Limited,314336.00,481.80
5,SMHL,Super Madi Hydropower Limited,314263.00,522.90
6,RIDI,Ridi Power Company Limited,258955.00,364.80
7,KKHC,Khani Khola Hydropower Company Limited,255787.00,278.80
8,SAHAS,Sahas Urja Limited,236924.00,709.00
9,MEN,Mountain Energy Nepal Limited,215289.00,639.00
10,NBL,Nepal Bank Limited,207413.00,277.00
11,NHPC,National Hydro Power Company Limited,193614.00,272.00
12,MEHL,Manakamana Engineering Hydropower Limited,184863.00,250.00
13,SIGS3,Siddhartha Investment Growth Scheme 3,179099.00,11.00
14,NGPL,Ngadi Group Power Limited,170242.00,412.00
15,SHPC,Sanima Mai Hydropower Limited,156670.00,514.00
