label,value
Total Turnovers (Rs.),"4,401,409,858.14"
Total Traded Shares,"9,500,766"
Total Transaction,"47,919"
Total Scrips Traded,345
Total Market Cap (Rs.),"4,522,917.06 Millions"
Floated Market Cap (Rs.),"1,525,278.35 Millons"
