rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,513142.00,359.90
2,SIGS3,Siddhartha Investment Growth Scheme 3,372573.00,11.00
3,SOHL,Solu Hydropower Limited,352814.00,686.00
4,SHPC,Sanima Mai Hydropower Limited,348089.00,527.20
5,AKJCL,Ankhukhola Hydropower Company Limited,303459.00,348.90
6,NSIF2,NMB Sulav Investment Fund - II,279240.00,11.01
7,TAMOR,Sanima Middle Tamor Hydropower Limited,270640.00,484.70
8,NHPC,National Hydro Power Company Limited,200387.00,265.80
9,LEC,Liberty Energy Company Limited,197561.00,217.30
10,MEN,Mountain Energy Nepal Limited,179665.00,626.30
11,KKHC,Khani Khola Hydropower Company Limited,179537.00,269.90
12,SMHL,Super Madi Hydropower Limited,167377.00,517.00
13,MEHL,Manakamana Engineering Hydropower Limited,167370.00,244.00
14,GBIME,Global IME Bank Limited,162508.00,246.20
15,SAHAS,Sahas Urja Limited,162254.00,695.00
