Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,626.53","2,631.28","2,614.04","2,618.72",-10.67,-0.40,"4,167,618,882.31"
Sensitive Index,462.50,463.10,460.85,461.36,-1.52,-0.32,"1,260,077,205.80"
Float Index,180.19,180.50,179.40,179.76,-0.61,-0.34,"4,126,918,334.08"
Sensitive Float Index,156.12,156.50,155.68,155.92,-0.38,-0.24,"1,260,077,205.80"
Banking SubIndex,"1,450.34","1,451.25","1,443.77","1,447.48",-0.66,-0.04,"333,313,249.30"
Development Bank Index,"5,504.24","5,517.92","5,466.52","5,481.67",-30.17,-0.54,"155,765,568.70"
Finance Index,"2,325.16","2,336.05","2,311.18","2,318.68",-10.15,-0.43,"95,044,136.80"
Hotels And Tourism,"7,188.83","7,301.84","7,188.83","7,214.87",-7.69,-0.10,"89,075,166.90"
HydroPower Index,"3,740.02","3,768.23","3,715.16","3,725.94",-25.03,-0.66,"2,509,076,869.60"
Investment,94.77,95.96,94.77,95.53,-0.18,-0.19,"155,133,953.70"
Life Insurance,"11,654.13","11,688.08","11,560.97","11,593.42",-43.22,-0.37,"77,281,871.28"
Manufacturing And Processing,"10,391.77","10,459.36","10,335.74","10,354.56",-47.90,-0.46,"422,960,976.80"
Microfinance Index,"4,503.79","4,517.67","4,478.37","4,489.82",-21.68,-0.48,"157,275,144.50"
Mutual Fund,20.61,20.71,20.59,20.71,0.00,0.03,"12,373,872.94"
Non Life Insurance,"10,424.34","10,459.55","10,359.06","10,419.14",-5.20,-0.04,"47,262,315.50"
Others Index,"1,925.70","1,925.82","1,899.27","1,903.76",-20.55,-1.06,"75,553,742.10"
Trading Index,"3,275.58","3,303.56","3,197.84","3,253.15",-22.43,-0.68,"9,175,338.90"
