rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,263730636.80,2775.00
2,SOHL,Solu Hydropower Limited,245369420.70,686.00
3,RIDI,Ridi Power Company Limited,186768012.20,359.90
4,SHPC,Sanima Mai Hydropower Limited,184144159.50,527.20
5,TAMOR,Sanima Middle Tamor Hydropower Limited,130533921.70,484.70
6,MEN,Mountain Energy Nepal Limited,114645013.10,626.30
7,SAHAS,Sahas Urja Limited,113915780.70,695.00
8,AKJCL,Ankhukhola Hydropower Company Limited,106777890.90,348.90
9,MEPDL,Mount Everest Power Development Limited,102270420.00,774.00
10,NRN,NRN Infrastructure and Development Limited,90172031.90,1375.00
11,SMHL,Super Madi Hydropower Limited,87836648.10,517.00
12,BPCL,Butwal Power Company Limited,56666385.90,660.00
13,NHPC,National Hydro Power Company Limited,53808051.80,265.80
14,UHEWA,Upper Hewakhola Hydropower Company Limited,53045702.10,607.30
15,KKHC,Khani Khola Hydropower Company Limited,49383659.00,269.90
