rank,symbol,company_name,close,change,change_percent
1,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1027.00,-57.00,-5.26
2,LVF2,Laxmi Value Fund-II,9.08,-0.50,-5.22
3,SKHEL,Suryakunda Hydro Electric Limited,910.00,-50.00,-5.21
4,ICFCD83,12% ICFC Finance Limited Debenture 2083,887.50,-46.70,-5.00
5,MKCL,Muktinath Krishi Company Limited,920.00,-40.00,-4.17
6,HBLD86,Himalayan Bank Limited Bond 2086,1170.00,-50.00,-4.10
7,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,671.00,-27.00,-3.87
8,ECL,Everest Colour Limited,1400.10,-51.90,-3.57
9,EHPL,Eastern Hydropower Limited,321.20,-11.80,-3.54
10,NICBF,NIC ASIA Balanced Fund,9.30,-0.34,-3.53
11,BHCL,Bikash Hydropower Company Limited,541.00,-18.90,-3.38
12,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,997.00,-33.00,-3.20
13,KKHC,Khani Khola Hydropower Company Limited,269.90,-8.90,-3.19
14,SINDU,Sindhu Bikas Bank Limited,640.00,-20.00,-3.03
15,EBLD91,7.50% Everest Bank Limited Debenture  2091,1067.00,-33.00,-3.00
