rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,313635208.30,482974171.53,796609379.83,-169338963.22999996,91661388.80
2,49,Online Securities Limited,143578519.45,170747838.20,314326357.65,-27169318.75,16542716.00
3,45,Imperial Securities Co. Limited,146524572.00,127725031.50,274249603.50,18799540.5,14724187.00
4,42,Sani Securities Company Limited,136171257.70,125679456.88,261850714.58,10491800.819999993,17649523.40
5,48,Trishakti Securities Public Limited,123484932.93,113977060.40,237461993.33,9507872.530000001,15806666.80
6,17,ABC Securities Pvt. Limited,57009580.58,161233673.50,218243254.08,-104224092.92,2367408.00
7,44,Dynamic Money Managers Securities Pvt.Ltd,118141764.20,97141448.50,215283212.70,21000315.700000003,5609604.20
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,88116749.40,125717552.60,213834302.00,-37600803.19999999,4948113.00
9,34,Vision Securities Pvt.Limited,110783301.20,91878786.94,202662088.14,18904514.260000005,8038723.20
10,57,Arya Tara Investment And Securities Pvt. Ltd.,99319821.40,78711657.60,178031479.00,20608163.800000012,3558927.80
11,14,Nepal Stock House Pvt. Limited,82157055.00,84251019.45,166408074.45,-2093964.450000003,2945215.40
12,77,Nabil Stock Dealer Limited,82060383.70,74934277.10,156994660.80,7126106.600000009,10828080.00
13,62,Capital Max Securities Limited,81239560.10,70978212.90,152217773.00,10261347.199999988,11398463.40
14,35,Kohinoor Investment and Securities Pvt.Ltd,71481729.50,69233856.50,140715586.00,2247873.0,14735773.60
15,64,SUN SECURITIES PVT LTD,87529470.30,52258582.50,139788052.80,35270887.8,3057992.00
