rank,symbol,company_name,transactions,ltp
1,MEPDL,Mount Everest Power Development Limited,12880,774.00
2,SGHL,Sanigad Hydro Limited,1880,522.00
3,SOHL,Solu Hydropower Limited,1645,686.00
4,KAHL,Kalanga Hydro Limited,1172,527.00
5,SHPC,Sanima Mai Hydropower Limited,945,527.20
6,SAHAS,Sahas Urja Limited,924,695.00
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,804,545.00
8,RIDI,Ridi Power Company Limited,796,359.90
9,SMHL,Super Madi Hydropower Limited,781,517.00
10,TAMOR,Sanima Middle Tamor Hydropower Limited,721,484.70
11,MEN,Mountain Energy Nepal Limited,709,626.30
12,RSML,Reliance Spinning Mills Limited,705,2775.00
13,SOPL,Sopan Pharmaceuticals Limited,661,769.40
14,KKHC,Khani Khola Hydropower Company Limited,659,269.90
15,AKJCL,Ankhukhola Hydropower Company Limited,657,348.90
