rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,797.60,104.00,14.99
2,PMHPL,Panchakanya Mai Hydropower Limited,345.90,42.10,13.86
3,RHGCL,Rapti Hydro & General Construction Limited,268.00,14.00,5.51
4,HATHY,Hathway Investment Nepal Limited,610.00,29.00,4.99
5,NSY,Nepal Life Samriddhi Lagani Yojana,9.52,0.42,4.62
6,NIBLGF,NIBL Growth Fund,8.80,0.32,3.77
7,SHPC,Sanima Mai Hydropower Limited,527.20,13.20,2.57
8,HEIP,Himalayan Everest Insurance Limited Promoter,329.80,7.80,2.42
9,SEF,Siddhartha Equity Fund,9.51,0.21,2.26
10,HLICF,HLI Large Cap Fund,8.55,0.18,2.15
11,BHPL,Barahi Hydropower Public Limited,478.00,9.90,2.11
12,SMJC,Sagarmatha Jalbidhyut Company Limited,437.00,8.90,2.08
13,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1070.00,20.00,1.90
14,RBCL,Rastriya Beema Company Limited,14069.80,254.80,1.84
15,HHL,Himalayan Hydropower Limited,334.80,5.70,1.73
