label,value
Total Turnovers (Rs.),"4,167,618,882.32"
Total Traded Shares,"10,022,765"
Total Transaction,"59,805"
Total Scrips Traded,344
Total Market Cap (Rs.),"4,504,551.11 Millions"
Floated Market Cap (Rs.),"1,520,074.82 Millions"
