rank,symbol,company_name,close,change,change_percent
1,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5999.00,475.00,8.60
2,CBLD88,10.25% Civil Bank Debenture 2088,1230.00,80.00,6.96
3,HLICF,HLI Large Cap Fund,8.94,0.44,5.18
4,NICBF,NIC ASIA Balanced Fund,9.57,0.47,5.16
5,NICSF,NIC Asia Select-30,8.90,0.34,3.97
6,SOHL,Solu Hydropower Limited,688.00,26.00,3.93
7,CORBL,Corporate Development Bank Limited,1065.00,40.00,3.90
8,ECL,Everest Colour Limited,1665.00,53.00,3.29
9,RSML,Reliance Spinning Mills Limited,2620.00,78.40,3.08
10,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,781.00,23.00,3.03
11,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1152.50,33.50,2.99
12,SAPDBL,Saptakoshi Development Bank Limited,839.90,22.90,2.80
13,SNORL,Snow Rivers Limited,906.00,24.40,2.77
14,NICFC,NIC Asia Flexi Cap Fund,9.37,0.24,2.63
15,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,777.00,16.80,2.21
