rank,symbol,company_name,transactions,ltp
1,SOHL,Solu Hydropower Limited,2644,688.00
2,SGHL,Sanigad Hydro Limited,1910,518.00
3,ECL,Everest Colour Limited,1667,1665.00
4,KAHL,Kalanga Hydro Limited,1193,542.20
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,998,554.00
6,MKHC,Maya Khola Hydropower Company Limited,998,280.00
7,RIDI,Ridi Power Company Limited,958,375.00
8,AKJCL,Ankhukhola Hydropower Company Limited,791,362.10
9,SOPL,Sopan Pharmaceuticals Limited,784,792.00
10,RSML,Reliance Spinning Mills Limited,733,2620.00
11,SNORL,Snow Rivers Limited,670,906.00
12,KKHC,Khani Khola Hydropower Company Limited,662,323.00
13,PCIL,Palpa Cements Industries Limited,581,622.30
14,CORBL,Corporate Development Bank Limited,575,1065.00
15,GBIME,Global IME Bank Limited,556,251.00
