rank,symbol,company_name,volume,ltp
1,MBLEF,MBL Equity Fund,758456.00,10.28
2,CZBILP,Citizens Bank International Limited Promoter Share,722042.00,100.00
3,RIDI,Ridi Power Company Limited,606959.00,375.00
4,SOHL,Solu Hydropower Limited,578177.00,688.00
5,SANIMA,Sanima Bank Limited,461280.00,370.00
6,KKHC,Khani Khola Hydropower Company Limited,425658.00,323.00
7,MKHC,Maya Khola Hydropower Company Limited,356138.00,280.00
8,AKJCL,Ankhukhola Hydropower Company Limited,322090.00,362.10
9,SMJC,Sagarmatha Jalbidhyut Company Limited,212329.00,458.00
10,NHPC,National Hydro Power Company Limited,191698.00,273.00
11,KBL,Kumari Bank Limited,187087.00,215.00
12,HPPL,Himalayan Power Partner Limited,165076.00,380.00
13,GBIME,Global IME Bank Limited,157185.00,251.00
14,PRVU,Prabhu Bank Limited,132896.00,191.00
15,KEF,Kumari Equity Fund,127690.00,10.50
