rank,symbol,company_name,turnover,ltp
1,SOHL,Solu Hydropower Limited,392554054.00,688.00
2,RIDI,Ridi Power Company Limited,230202624.70,375.00
3,SANIMA,Sanima Bank Limited,170881778.20,370.00
4,KKHC,Khani Khola Hydropower Company Limited,136140650.90,323.00
5,AKJCL,Ankhukhola Hydropower Company Limited,117991328.20,362.10
6,SMJC,Sagarmatha Jalbidhyut Company Limited,97734980.70,458.00
7,MKHC,Maya Khola Hydropower Company Limited,96142935.30,280.00
8,CZBILP,Citizens Bank International Limited Promoter Share,72204200.00,100.00
9,NRN,NRN Infrastructure and Development Limited,70631020.90,1371.00
10,RSML,Reliance Spinning Mills Limited,70254622.10,2620.00
11,HPPL,Himalayan Power Partner Limited,62405055.30,380.00
12,NHPC,National Hydro Power Company Limited,52414130.60,273.00
13,ECL,Everest Colour Limited,51621623.50,1665.00
14,CGH,Chandragiri Hills Limited,47335438.30,785.10
15,NABIL,Nabil Bank Limited,46549634.20,556.00
