rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,464518200.11,439977636.28,904495836.39,24540563.830000043,205572790.00
2,42,Sani Securities Company Limited,165953823.20,127246159.80,293199983.00,38707663.39999999,12731417.20
3,33,Dakshinkali Investment Securities Pvt.Limited,45586677.20,211012571.40,256599248.60,-165425894.2,1387820.00
4,34,Vision Securities Pvt.Limited,85921756.20,170025279.60,255947035.80,-84103523.39999999,6526927.80
5,45,Imperial Securities Co .Pvt.Limited,116620148.40,114837262.70,231457411.10,1782885.700000003,10026203.40
6,44,Dynamic Money Managers Securities Pvt.Ltd,160051996.10,61727195.70,221779191.80,98324800.39999999,12508301.60
7,49,Online Securities Limited,95725767.30,95341689.60,191067456.90,384077.700000003,7682824.40
8,32,Premier Securites Company Limited,60591054.90,121942222.89,182533277.79,-61351167.99,825199.80
9,48,Trishakti Securities Public Limited,79394094.60,101566113.50,180960208.10,-22172018.900000006,2502527.20
10,57,Arya Tara Investment And Securities Pvt. Ltd.,81019266.00,81620742.50,162640008.50,-601476.5,4618187.80
11,62,Capital Max Securities Limited,81797456.10,75883378.70,157680834.80,5914077.399999991,6173502.00
12,35,Kohinoor Investment and Securities Pvt.Ltd,92587576.90,63014434.20,155602011.10,29573142.700000003,13964260.20
13,17,ABC Securities Pvt. Limited,64331851.00,82589560.40,146921411.40,-18257709.400000006,1761702.40
14,56,Sri Hari Securities Pvt.Ltd,62649556.60,79894185.30,142543741.90,-17244628.699999996,2067137.80
15,7,J.F. Securities Company Pvt. Limited,103692442.70,31052838.40,134745281.10,72639604.30000001,81260.00
