label,value
Total Turnovers (Rs.),"3,774,361,541.21"
Total Traded Shares,"10,313,979"
Total Transaction,"46,912"
Total Scrips Traded,334
Total Market Cap (Rs.),"4,554,360.94 Millions"
Floated Market Cap (Rs.),"1,536,051.86 Millions"
