Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,652.66","2,657.44","2,641.93","2,650.09",-4.05,-0.15,"3,774,361,541.21"
Sensitive Index,464.66,465.57,462.84,463.56,-1.16,-0.25,"1,156,304,884.20"
Float Index,182.15,182.40,181.33,181.79,-0.47,-0.25,"3,659,936,161.11"
Sensitive Float Index,157.32,157.54,156.63,156.90,-0.44,-0.28,"1,156,304,884.20"
Banking SubIndex,"1,464.26","1,468.01","1,456.19","1,460.63",-3.62,-0.24,"515,634,213.10"
Development Bank Index,"5,613.49","5,616.44","5,577.71","5,598.39",-12.16,-0.21,"162,331,012.60"
Finance Index,"2,392.93","2,409.54","2,392.93","2,398.02",-17.11,-0.70,"96,025,756.70"
Hotels And Tourism,"7,282.30","7,326.76","7,265.34","7,289.43",-20.01,-0.27,"135,940,145.30"
HydroPower Index,"3,728.95","3,741.86","3,702.72","3,729.96",-5.09,-0.13,"1,996,525,373.00"
Investment,97.26,97.70,96.88,97.09,-0.17,-0.17,"114,844,960.20"
Life Insurance,"11,880.16","11,880.16","11,792.20","11,828.29",-37.28,-0.31,"71,424,933.30"
Manufacturing And Processing,"10,303.27","10,463.61","10,303.27","10,394.12",26.32,0.25,"293,494,854.51"
Microfinance Index,"4,557.63","4,572.73","4,544.88","4,562.77",0.71,0.01,"150,852,363.20"
Mutual Fund,20.97,21.08,20.85,21.08,0.10,0.51,"13,851,057.40"
Non Life Insurance,"10,633.61","10,650.21","10,571.31","10,607.18",-26.43,-0.24,"45,832,709.60"
Others Index,"1,940.74","1,940.74","1,916.47","1,925.19",-4.25,-0.22,"73,945,613.60"
Trading Index,"3,381.30","3,391.03","3,305.31","3,387.90",6.60,0.19,"3,084,226.00"
