rank,symbol,company_name,transactions,ltp
1,SOHL,Solu Hydropower Limited,4287,711.00
2,SGHL,Sanigad Hydro Limited,2582,527.80
3,KAHL,Kalanga Hydro Limited,1555,542.00
4,ECL,Everest Colour Limited,1513,1584.00
5,RIDI,Ridi Power Company Limited,1352,386.00
6,CORBL,Corporate Development Bank Limited,1332,1155.20
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1281,560.00
8,PRVU,Prabhu Bank Limited,875,188.50
9,SOPL,Sopan Pharmaceuticals Limited,821,796.00
10,YMHL,Yambaling Hydropower Limited,806,624.00
11,DHEL,Daramkhola Hydro Energy Limited,783,620.00
12,SYPNL,SY Panel Nepal Limited,775,1334.00
13,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,762,817.00
14,PCIL,Palpa Cements Industries Limited,756,625.00
15,SNORL,Snow Rivers Limited,739,926.10
