rank,symbol,company_name,turnover,ltp
1,SOHL,Solu Hydropower Limited,463706120.50,711.00
2,RIDI,Ridi Power Company Limited,292768972.80,386.00
3,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,124541705.50,817.00
4,SAPDBL,Saptakoshi Development Bank Limited,95035238.40,835.00
5,AKJCL,Ankhukhola Hydropower Company Limited,86539447.80,366.90
6,RSML,Reliance Spinning Mills Limited,82282626.60,2633.50
7,KKHC,Khani Khola Hydropower Company Limited,77727367.60,321.80
8,CORBL,Corporate Development Bank Limited,76498433.00,1155.20
9,SYPNL,SY Panel Nepal Limited,63995021.20,1334.00
10,NHPC,National Hydro Power Company Limited,62056913.50,272.20
11,ECL,Everest Colour Limited,59447537.70,1584.00
12,SAIL,Shreenagar Agritech Industries Limited,58878762.70,1120.00
13,GBIME,Global IME Bank Limited,56022437.90,251.00
14,NRN,NRN Infrastructure and Development Limited,54928133.40,1376.00
15,CFCL,Central Finance Limited,52115699.20,656.50
