label,value
Total Turnovers (Rs.),"3,674,419,766.30"
Total Traded Shares,"10,966,745"
Total Transaction,"53,524"
Total Scrips Traded,352
Total Market Cap (Rs.),"4,538,843.00 Millions"
Floated Market Cap (Rs.),"1,530,863.50 Millions"
