rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,452389339.64,346012855.80,798402195.44,106376483.83999997,89409620.20
2,45,Imperial Securities Co .Pvt.Limited,152072255.40,149015248.50,301087503.90,3057006.900000006,15077176.80
3,48,Trishakti Securities Public Limited,133925956.90,99975921.30,233901878.20,33950035.60000001,14488407.00
4,42,Sani Securities Company Limited,116541293.80,115415985.60,231957279.40,1125308.200000003,6160503.20
5,49,Online Securities Limited,91912165.50,127691841.57,219604007.07,-35779676.06999999,3879086.60
6,34,Vision Securities Pvt.Limited,96572741.50,119079138.55,215651880.05,-22506397.049999997,7214687.80
7,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,88800848.24,119386930.60,208187778.84,-30586082.36,4715544.80
8,57,Arya Tara Investment And Securities Pvt. Ltd.,92147806.90,109856557.40,202004364.30,-17708750.5,6072266.60
9,17,ABC Securities Pvt. Limited,59698240.40,98572383.50,158270623.90,-38874143.1,4903189.80
10,32,Premier Securites Company Limited,76874347.90,78269744.40,155144092.30,-1395396.5,3256123.00
11,35,Kohinoor Investment and Securities Pvt.Ltd,72385508.80,71948212.00,144333720.80,437296.799999997,1363157.00
12,44,Dynamic Money Managers Securities Pvt.Ltd,67233263.20,76874778.20,144108041.40,-9641515.0,10984138.60
13,26,Asian Securities Pvt. Limited,70566119.30,71408286.30,141974405.60,-842167.0,903380.00
14,77,Nabil Stock Dealer Limited,80373343.00,53014850.00,133388193.00,27358493.0,0.00
15,62,Capital Max Securities Limited,67441552.90,62173275.95,129614828.85,5268276.950000003,3244383.80
