Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,651.50","2,653.95","2,636.28","2,641.06",-9.02,-0.34,"3,674,419,766.29"
Sensitive Index,463.83,465.24,460.73,461.36,-2.20,-0.47,"1,180,023,424.10"
Float Index,182.03,182.14,180.77,181.18,-0.61,-0.33,"3,599,232,616.80"
Sensitive Float Index,156.99,157.51,155.97,156.17,-0.72,-0.46,"1,180,023,424.10"
Banking SubIndex,"1,468.25","1,468.91","1,448.45","1,449.97",-10.65,-0.72,"338,900,185.10"
Development Bank Index,"5,596.78","5,624.02","5,573.46","5,591.18",-7.20,-0.12,"305,062,449.20"
Finance Index,"2,383.51","2,398.56","2,377.74","2,388.14",-9.88,-0.41,"129,083,489.70"
Hotels And Tourism,"7,289.43","7,294.10","7,232.34","7,237.95",-51.48,-0.70,"70,513,319.50"
HydroPower Index,"3,722.71","3,739.15","3,717.27","3,732.60",2.63,0.07,"1,859,294,865.60"
Investment,97.02,97.42,96.17,96.50,-0.58,-0.60,"102,987,955.10"
Life Insurance,"11,822.15","11,843.15","11,721.26","11,754.32",-73.96,-0.62,"94,360,755.50"
Manufacturing And Processing,"10,284.53","10,422.12","10,284.53","10,406.87",12.74,0.12,"370,673,050.30"
Microfinance Index,"4,561.89","4,571.78","4,529.78","4,571.78",9.01,0.19,"227,847,294.30"
Mutual Fund,21.08,21.08,20.78,20.97,-0.10,-0.48,"34,848,005.91"
Non Life Insurance,"10,607.18","10,659.11","10,529.51","10,609.77",2.58,0.02,"338,900,185.10"
Others Index,"1,941.32","1,941.41","1,915.04","1,916.58",-8.61,-0.44,"59,867,598.00"
Trading Index,"3,387.90","3,390.76","3,288.61","3,358.70",-29.19,-0.86,"2,067,539.00"
