rank,symbol,company_name,close,change,change_percent
1,RSY2,Reliable Samriddhi Yojana-2,9.03,-0.97,-9.70
2,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5467.00,-532.00,-8.87
3,LUK,Laxmi Unnati Kosh,10.06,-0.63,-5.89
4,RBBD2088,7% RBBL Debenture 2088,994.10,-61.90,-5.86
5,ECL,Everest Colour Limited,1584.00,-81.00,-4.86
6,NIBLGF,NIBL Growth Fund,8.80,-0.45,-4.86
7,BJHL,Bhujung Hydropower Limited,670.00,-24.00,-3.46
8,MKHC,Maya Khola Hydropower Company Limited,271.00,-9.00,-3.21
9,ICFCD88,9% ICFC Finance Limited Debenture 2088,1134.90,-35.10,-3.00
10,MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85,1042.80,-32.20,-3.00
11,PBLD86,10.25% Prabhu Bank Debenture 2086,1383.20,-42.70,-2.99
12,BHPL,Barahi Hydropower Public Limited,482.50,-14.50,-2.92
13,NICSF,NIC Asia Select-30,8.64,-0.26,-2.92
14,TVCL,Trishuli Jal Vidhyut Company Limited,468.10,-13.90,-2.88
15,SMJC,Sagarmatha Jalbidhyut Company Limited,445.00,-13.00,-2.84
