rank,symbol,company_name,volume,ltp
1,KDBY,Kumari Dhanabriddhi Yojana,1473490.00,11.00
2,KEF,Kumari Equity Fund,830832.00,10.80
3,RIDI,Ridi Power Company Limited,762163.00,386.00
4,SOHL,Solu Hydropower Limited,651181.00,711.00
5,MBLEF,MBL Equity Fund,581500.00,10.28
6,PRVU,Prabhu Bank Limited,267784.00,188.50
7,KKHC,Khani Khola Hydropower Company Limited,242978.00,321.80
8,AKJCL,Ankhukhola Hydropower Company Limited,237038.00,366.90
9,NHPC,National Hydro Power Company Limited,227236.00,272.20
10,GBIME,Global IME Bank Limited,221487.00,251.00
11,KBL,Kumari Bank Limited,166580.00,215.00
12,MNBBLP,Muktinath Bikas Bank Limited Promoter Share,156283.00,236.20
13,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,153815.00,817.00
14,API,Api Power Company Limited,127348.00,328.50
15,SAPDBL,Saptakoshi Development Bank Limited,116158.00,835.00
