rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,664366265.75,449653185.35,1114019451.10,214713080.39999998,107845827.60
2,44,Dynamic Money Managers Securities Pvt.Ltd,186764577.90,298329155.84,485093733.74,-111564577.93999997,65027407.60
3,49,Online Securities Limited,191837958.70,289094186.80,480932145.50,-97256228.10000002,21600070.40
4,42,Sani Securities Company Limited,211445219.85,247926588.80,459371808.65,-36481368.95000002,22374152.80
5,34,Vision Securities Pvt.Limited,205711101.90,206963695.33,412674797.23,-1252593.4300000072,32003601.40
6,35,Kohinoor Investment and Securities Pvt.Ltd,114685237.18,291120566.80,405805803.98,-176435329.62,6297472.40
7,48,Trishakti Securities Public Limited,189600649.00,198428907.13,388029556.13,-8828258.129999995,15559298.80
8,45,Imperial Securities Co .Pvt.Limited,192839713.40,183798260.70,376637974.10,9041452.700000018,11361381.20
9,57,Arya Tara Investment And Securities Pvt. Ltd.,168826278.20,155902308.80,324728587.00,12923969.399999976,8563717.80
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,151567876.40,141513242.20,293081118.60,10054634.200000018,7120712.40
11,14,Nepal Stock House Pvt. Limited,111913989.13,163016138.90,274930128.03,-51102149.77000001,4142413.20
12,17,ABC Securities Pvt. Limited,160546548.70,110614118.10,271160666.80,49932430.599999994,13656013.60
13,77,Nabil Stock Dealer Limited,172659133.20,97572552.30,270231685.50,75086580.89999999,1047300.40
14,63,Himalayan Brokerage Company Limited,207343998.60,53543380.80,260887379.40,153800617.8,243050.00
15,39,Sumeru Securities Pvt.Limited,123932834.10,120136799.50,244069633.60,3796034.599999994,4128826.60
