Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,719.31","2,754.08","2,704.96","2,726.49",7.25,0.26,"6,671,017,971.84"
Sensitive Index,472.74,475.40,469.37,472.42,-0.18,-0.03,"2,306,411,291.50"
Float Index,186.32,188.11,185.22,186.62,0.19,0.10,"6,471,635,168.10"
Sensitive Float Index,159.70,161.08,158.95,160.02,0.00,0.00,"2,306,411,291.50"
Banking SubIndex,"1,464.81","1,480.39","1,460.44","1,470.24",1.56,0.10,"544,004,191.90"
Development Bank Index,"5,782.51","5,805.96","5,710.50","5,755.69",-23.17,-0.40,"410,322,393.10"
Finance Index,"2,443.05","2,482.09","2,436.01","2,451.50",-17.20,-0.69,"234,872,771.60"
Hotels And Tourism,"7,477.96","7,538.78","7,385.09","7,460.09",-17.87,-0.23,"175,160,475.60"
HydroPower Index,"3,798.76","3,846.85","3,764.00","3,800.76",-2.13,-0.05,"3,170,105,861.50"
Investment,101.42,102.00,99.77,101.10,0.50,0.49,"385,391,636.40"
Life Insurance,"12,474.95","12,502.36","12,225.06","12,354.95",-14.71,-0.11,"128,593,760.00"
Manufacturing And Processing,"10,911.34","11,108.32","10,880.37","11,025.87",70.46,0.64,"809,032,433.70"
Microfinance Index,"4,722.73","4,742.68","4,678.77","4,712.15",-1.17,-0.02,"176,933,662.20"
Mutual Fund,21.72,21.72,21.47,21.56,-0.15,-0.71,"12,230,918.94"
Non Life Insurance,"11,092.04","11,139.18","10,993.50","11,075.86",-16.18,-0.14,"68,210,365.10"
Others Index,"2,004.81","2,053.76","2,004.58","2,030.05",24.12,1.20,"358,145,530.00"
Trading Index,"3,367.24","3,690.83","3,305.10","3,464.43",97.19,2.88,"10,862,087.00"
