rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,1497165.00,378.90
2,AKJCL,Ankhukhola Hydropower Company Limited,822835.00,385.00
3,NHPC,National Hydro Power Company Limited,659711.00,282.90
4,API,Api Power Company Limited,409983.00,344.00
5,HDHPC,Himal Dolakha Hydropower Company Limited,351246.00,220.50
6,HRL,Himalayan Reinsurance Limited,341552.00,645.00
7,LSL,Laxmi Sunrise Bank Limited,333917.00,223.60
8,KBL,Kumari Bank Limited,294583.00,220.90
9,CITY,City Hotel Limited,207128.00,377.00
10,SSHL,Shiva Shree Hydropower Limited,178577.00,214.00
11,NGPL,Ngadi Group Power Limited,174734.00,425.00
12,NIMB,Nepal Investment Mega Bank Limited,169137.00,198.50
13,PRVU,Prabhu Bank Limited,159581.00,197.20
14,SHIVM,Shivam Cements Limited,152420.00,663.10
15,PRSF,Prabhu Smart Fund,147584.00,12.89
