label,value
Total Turnovers (Rs.),"6,671,017,971.84"
Total Traded Shares,"14,924,302"
Total Transaction,"75,010"
Total Scrips Traded,343
Total Market Cap (Rs.),"4,685,671.33 Millions"
Floated Market Cap (Rs.),"1,576,874.94 Millions"
