rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,4333,536.00
2,KAHL,Kalanga Hydro Limited,2787,546.10
3,RIDI,Ridi Power Company Limited,2763,378.90
4,HRL,Himalayan Reinsurance Limited,2682,645.00
5,AKJCL,Ankhukhola Hydropower Company Limited,1693,385.00
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1592,563.00
7,CORBL,Corporate Development Bank Limited,1424,1400.00
8,SOPL,Sopan Pharmaceuticals Limited,1275,845.00
9,NHPC,National Hydro Power Company Limited,1232,282.90
10,RSML,Reliance Spinning Mills Limited,1202,3545.00
11,SOHL,Solu Hydropower Limited,1194,592.00
12,YMHL,Yambaling Hydropower Limited,1170,630.00
13,PCIL,Palpa Cements Industries Limited,1056,665.00
14,SYPNL,SY Panel Nepal Limited,1039,1405.00
15,API,Api Power Company Limited,1009,344.00
