rank,symbol,company_name,turnover,ltp
1,RIDI,Ridi Power Company Limited,557750754.90,378.90
2,AKJCL,Ankhukhola Hydropower Company Limited,313740793.20,385.00
3,RSML,Reliance Spinning Mills Limited,273431989.60,3545.00
4,HRL,Himalayan Reinsurance Limited,220121762.90,645.00
5,NRN,NRN Infrastructure and Development Limited,220028040.60,1495.00
6,NHPC,National Hydro Power Company Limited,186191491.00,282.90
7,CORBL,Corporate Development Bank Limited,156812187.30,1400.00
8,API,Api Power Company Limited,141508304.40,344.00
9,SYPNL,SY Panel Nepal Limited,136397739.40,1405.00
10,SHIVM,Shivam Cements Limited,100482010.10,663.10
11,SAHAS,Sahas Urja Limited,92823644.90,665.00
12,RADHI,Radhi Bidyut Company Limited,92810144.00,762.50
13,CHDC,CEDB Holdings Limited,88566690.00,2209.00
14,NRIC,Nepal Reinsurance Company Limited,84531935.40,1018.00
15,SOHL,Solu Hydropower Limited,80990069.80,592.00
