rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,315086547.25,302003631.39,617090178.64,13082915.860000014,51686393.80
2,34,Vision Securities Pvt.Limited,169274515.90,135255004.60,304529520.50,34019511.30000001,14156312.00
3,42,Sani Securities Company Limited,145600220.60,139681019.95,285281240.55,5919200.650000006,33763892.00
4,45,Imperial Securities Co. Limited,135400460.72,145309637.80,280710098.52,-9909177.080000013,14929547.80
5,14,Nepal Stock House Pvt. Limited,103090455.30,175928974.80,279019430.10,-72838519.50000001,23862376.80
6,49,Online Securities Limited,132240843.90,144053370.60,276294214.50,-11812526.699999988,5111516.80
7,48,Trishakti Securities Public Limited,150630850.00,109887299.70,260518149.70,40743550.3,9443582.20
8,33,Dakshinkali Investment Securities Pvt.Limited,129084780.90,76237077.10,205321858.00,52847703.80000001,25730771.60
9,44,Dynamic Money Managers Securities Pvt.Ltd,86629030.50,116900932.80,203529963.30,-30271902.299999997,27606633.00
10,35,Kohinoor Investment and Securities Pvt.Ltd,109195198.90,88628353.40,197823552.30,20566845.5,11367274.20
11,57,Arya Tara Investment And Securities Pvt. Ltd.,100383079.79,96101823.70,196484903.49,4281256.090000004,7759799.20
12,77,Nabil Stock Dealer Limited,140740019.80,53863467.20,194603487.00,86876552.60000001,3463472.20
13,32,Premier Securites Company Limited,85602549.60,104713090.20,190315639.80,-19110540.60000001,28669892.20
14,62,Capital Max Securities Limited,110930201.37,70175183.30,181105384.67,40755018.07000001,4441371.60
15,74,KALASH STOCK MARKET PVT. LTD.,94090376.30,85555239.15,179645615.45,8535137.149999991,1763250.00
