rank,symbol,company_name,close,change,change_percent
1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2763.30,263.30,10.53
2,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1091.00,100.00,10.09
3,SINDU,Sindhu Bikas Bank Limited,394.00,34.30,9.54
4,SAPIL,Sarvottam Paints Industries Limited,1370.00,102.00,8.04
5,NCCD86,9.5%  NCC Rinpatra 2086,1241.00,86.00,7.45
6,SBLD2091,7.25% SBL Debenture 2091,1194.80,75.90,6.78
7,EBLD86,8.5% Everest Bank Debenture,1154.00,71.90,6.64
8,RHGCL,Rapti Hydro & General Construction Limited,261.10,15.20,6.18
9,SSHL,Shiva Shree Hydropower Limited,212.30,11.90,5.94
10,HEIP,Himalayan Everest Insurance Limited Promoter,308.80,16.80,5.75
11,MCHL,Menchhiyam Hydropower  Limited,262.00,14.00,5.65
12,BGWT,Bhagawati Hydropower Development Company Limited,476.00,25.10,5.57
13,HATHY,Hathway Investment Nepal Limited,609.00,32.10,5.56
14,HURJA,Himalaya Urja Bikas Company Limited,247.00,12.00,5.11
15,ECL,Everest Colour Limited,1342.90,64.90,5.08
