rank,symbol,company_name,transactions,ltp
1,LEC,Liberty Energy Company Limited,3197,252.20
2,SSHL,Shiva Shree Hydropower Limited,1426,212.30
3,SAPIL,Sarvottam Paints Industries Limited,1366,1370.00
4,SGHL,Sanigad Hydro Limited,1254,496.10
5,SINDU,Sindhu Bikas Bank Limited,1155,394.00
6,SOHL,Solu Hydropower Limited,967,654.00
7,MEPDL,Mount Everest Power Development Limited,750,637.00
8,HDHPC,Himal Dolakha Hydropower Company Limited,732,213.80
9,KAHL,Kalanga Hydro Limited,656,493.00
10,BHL,Balephi Hydropower Limited,654,211.50
11,NHPC,National Hydro Power Company Limited,643,264.60
12,NRN,NRN Infrastructure and Development Limited,611,1439.00
13,PCIL,Palpa Cements Industries Limited,604,607.20
14,RSML,Reliance Spinning Mills Limited,581,2930.00
15,API,Api Power Company Limited,523,334.70
