rank,symbol,company_name,volume,ltp
1,LEC,Liberty Energy Company Limited,1434225.00,252.20
2,SSHL,Shiva Shree Hydropower Limited,593275.00,212.30
3,NIBLSTF,NIBL Stable Fund,449711.00,8.40
4,HDHPC,Himal Dolakha Hydropower Company Limited,292330.00,213.80
5,NHPC,National Hydro Power Company Limited,291214.00,264.60
6,NIBLGF,NIBL Growth Fund,259482.00,8.50
7,BHL,Balephi Hydropower Limited,256797.00,211.50
8,RIDI,Ridi Power Company Limited,253155.00,351.00
9,AKJCL,Ankhukhola Hydropower Company Limited,239711.00,339.80
10,SANIMA,Sanima Bank Limited,238384.00,370.00
11,API,Api Power Company Limited,229569.00,334.70
12,GHL,Ghalemdi Hydro Limited,206662.00,239.90
13,SOHL,Solu Hydropower Limited,193154.00,654.00
14,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,181912.00,186.50
15,KBL,Kumari Bank Limited,177697.00,215.00
