label,value
Total Turnovers (Rs.),"4,360,159,487.26"
Total Traded Shares,"12,089,709"
Total Transaction,"49,006"
Total Scrips Traded,345
Total Market Cap (Rs.),"4,402,667.92 Millions"
Floated Market Cap (Rs.),"1,485,735.87 Millions"
