Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,529.73","2,559.49","2,524.55","2,559.49",27.94,1.10,"4,360,159,487.25"
Sensitive Index,450.00,453.92,449.48,453.92,3.98,0.88,"1,281,283,775.70"
Float Index,173.73,175.70,173.56,175.70,1.88,1.08,"4,263,457,623.04"
Sensitive Float Index,151.75,153.21,151.58,153.21,1.43,0.94,"1,281,283,775.70"
Banking SubIndex,"1,441.48","1,449.70","1,438.39","1,449.19",11.23,0.78,"427,023,686.50"
Development Bank Index,"5,291.66","5,350.68","5,275.40","5,350.68",56.05,1.05,"224,103,436.40"
Finance Index,"2,181.40","2,201.32","2,175.89","2,193.75",10.16,0.46,"92,277,627.24"
Hotels And Tourism,"6,907.73","7,025.20","6,907.73","7,025.20",72.75,1.04,"118,428,259.00"
HydroPower Index,"3,478.41","3,541.79","3,463.40","3,541.79",63.90,1.83,"2,280,084,181.30"
Investment,93.62,95.45,93.17,95.39,1.48,1.58,"268,195,639.90"
Life Insurance,"11,189.78","11,299.25","11,142.33","11,299.25",109.46,0.97,"84,117,159.90"
Manufacturing And Processing,"10,433.07","10,551.73","10,423.67","10,539.22",80.77,0.77,"473,161,043.50"
Microfinance Index,"4,370.07","4,434.35","4,368.52","4,434.35",42.67,0.97,"185,653,895.20"
Mutual Fund,19.48,19.50,19.33,19.50,0.01,0.09,"9,611,063.02"
Non Life Insurance,"9,262.31","9,422.06","9,207.69","9,422.06",159.74,1.72,"43,948,112.00"
Others Index,"1,776.31","1,791.86","1,775.18","1,791.17",7.58,0.42,"56,673,778.90"
Trading Index,"3,179.06","3,243.72","3,089.68","3,223.80",44.74,1.40,"9,790,803.20"
