rank,symbol,company_name,close,change,change_percent
1,MPFL,Multipurpose Finance Company Limited,537.00,-32.50,-5.71
2,ENL,Emerging Nepal Limited,593.90,-26.10,-4.21
3,OMPL,Om Megashree Pharmaceuticals Limited,853.00,-35.50,-4.00
4,RBCLPO,Rastriya Beema Company Limited Promoter Share,11200.00,-346.30,-3.00
5,LUK,Laxmi Unnati Kosh,9.49,-0.29,-2.97
6,NICGF2,NIC Asia Growth Fund 2,8.70,-0.26,-2.90
7,C30MF,Citizens Super 30 Mutual Fund,9.76,-0.29,-2.89
8,NIFRAGED,6% Nifra Harit Urja Debenture 2088/89,1011.10,-29.20,-2.81
9,NBF2,Nabil Balanced Fund - 2,9.72,-0.28,-2.80
10,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,136.90,-3.10,-2.21
11,RBBF40,RBB Focus 40,9.00,-0.20,-2.17
12,KEF,Kumari Equity Fund,9.10,-0.20,-2.15
13,RBBD2088,7% RBBL Debenture 2088,1073.00,-22.00,-2.01
14,GBBD85,8.75% Garima Debenture 2085,1050.00,-20.00,-1.87
15,NICBF,NIC ASIA Balanced Fund,8.47,-0.16,-1.85
