rank,symbol,company_name,turnover,ltp
1,LEC,Liberty Energy Company Limited,366655193.30,252.20
2,NRN,NRN Infrastructure and Development Limited,185101897.20,1439.00
3,RSML,Reliance Spinning Mills Limited,147953071.30,2930.00
4,SOHL,Solu Hydropower Limited,124479655.20,654.00
5,SSHL,Shiva Shree Hydropower Limited,124091535.00,212.30
6,RIDI,Ridi Power Company Limited,87970054.40,351.00
7,SANIMA,Sanima Bank Limited,87891602.90,370.00
8,AKJCL,Ankhukhola Hydropower Company Limited,81207023.00,339.80
9,NHPC,National Hydro Power Company Limited,76061365.80,264.60
10,API,Api Power Company Limited,75556799.90,334.70
11,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,73414341.10,1156.00
12,TAMOR,Sanima Middle Tamor Hydropower Limited,73360501.40,497.00
13,SAPIL,Sarvottam Paints Industries Limited,71141539.30,1370.00
14,SHIVM,Shivam Cements Limited,69234644.80,663.00
15,SAHAS,Sahas Urja Limited,62325794.90,691.00
