rank,symbol,company_name,turnover,ltp
1,SHIVM,Shivam Cements Limited,217591632.20,650.00
2,SBI,Nepal SBI Bank Limited,166609173.00,400.00
3,CHCL,Chilime Hydro power Company Limited,160738793.20,405.00
4,AKJCL,Ankhukhola Hydropower Company Limited,116168313.70,343.00
5,RSML,Reliance Spinning Mills Limited,109722028.60,2728.00
6,SOHL,Solu Hydropower Limited,106615018.50,660.00
7,RIDI,Ridi Power Company Limited,91560895.40,345.90
8,RHPL,Rasuwagadhi Hydropower Company Limited,77014436.20,188.00
9,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,71660890.30,401.00
10,SAHAS,Sahas Urja Limited,64067269.20,682.00
11,SONA,Sonapur Minerals and Oil Limited,62793659.80,408.00
12,TAMOR,Sanima Middle Tamor Hydropower Limited,59125162.40,482.00
13,API,Api Power Company Limited,57620543.10,325.90
14,BHCL,Bikash Hydropower Company Limited,57461951.40,555.00
15,GBIME,Global IME Bank Limited,56980264.70,242.00
