rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,1394.80,181.90,15.00
2,GCIL,Ghorahi Cement Industry Limited,370.00,28.00,8.19
3,SONA,Sonapur Minerals and Oil Limited,408.00,19.60,5.05
4,BGWT,Bhagawati Hydropower Development Company Limited,513.00,23.10,4.72
5,PCIL,Palpa Cements Industries Limited,621.00,26.90,4.53
6,SHIVM,Shivam Cements Limited,650.00,26.00,4.17
7,SOPL,Sopan Pharmaceuticals Limited,758.00,29.00,3.98
8,SAPDBL,Saptakoshi Development Bank Limited,720.00,26.00,3.75
9,JOSHI,Joshi Hydropower Development Company Limited,259.80,8.80,3.51
10,HBLD86,Himalayan Bank Limited Bond 2086,1112.40,32.40,3.00
11,KEF,Kumari Equity Fund,9.68,0.27,2.87
12,SNLI,Sun Nepal Life Insurance Company Limited,390.00,10.20,2.69
13,RSY2,Reliable Samriddhi Yojana-2,9.16,0.23,2.58
14,VLUCL,Vision Lumbini Urja Company Limited,383.50,9.50,2.54
15,SANVI,Sanvi Energy Limited,579.00,14.30,2.53
