Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,554.55","2,566.78","2,517.79","2,557.31",-1.04,-0.04,"3,786,454,594.27"
Sensitive Index,451.15,452.58,445.04,451.12,-0.54,-0.12,"1,428,854,476.70"
Float Index,175.06,175.82,172.60,175.26,-0.16,-0.09,"3,748,414,402.60"
Sensitive Float Index,152.28,152.68,150.19,152.19,-0.31,-0.20,"1,428,854,476.70"
Banking SubIndex,"1,425.19","1,434.24","1,411.48","1,428.52",2.05,0.14,"492,926,600.70"
Development Bank Index,"5,411.71","5,447.83","5,327.81","5,438.37",23.90,0.44,"119,566,326.10"
Finance Index,"2,248.40","2,285.88","2,215.11","2,268.73",14.96,0.66,"83,090,505.40"
Hotels And Tourism,"7,123.35","7,180.84","7,020.21","7,164.16",40.80,0.57,"53,188,742.60"
HydroPower Index,"3,537.46","3,554.68","3,465.03","3,541.50",-19.78,-0.55,"1,865,410,530.20"
Investment,93.77,94.00,92.64,93.94,0.14,0.15,"109,770,635.60"
Life Insurance,"11,304.67","11,324.31","11,093.36","11,285.04",-28.10,-0.24,"59,760,904.80"
Manufacturing And Processing,"10,269.09","10,505.47","10,187.00","10,412.01",178.18,1.74,"686,651,847.00"
Microfinance Index,"4,409.92","4,418.02","4,367.66","4,418.02",5.39,0.12,"102,444,807.30"
Mutual Fund,19.80,19.81,19.62,19.69,-0.61,-3.05,"15,497,518.97"
Non Life Insurance,"9,935.32","9,935.32","9,519.78","9,733.78",-201.81,-2.03,"95,466,390.40"
Others Index,"1,854.29","1,861.57","1,819.50","1,838.23",-19.95,-1.07,"77,105,564.50"
Trading Index,"3,216.43","3,236.73","3,145.71","3,216.55",0.12,0.00,"3,031,548.00"
