rank,symbol,company_name,volume,ltp
1,PSF,Prabhu Select Fund,620100.00,12.17
2,RHPL,Rasuwagadhi Hydropower Company Limited,420658.00,188.00
3,SBI,Nepal SBI Bank Limited,413584.00,400.00
4,CHCL,Chilime Hydro power Company Limited,407762.00,405.00
5,AKJCL,Ankhukhola Hydropower Company Limited,340803.00,343.00
6,SHIVM,Shivam Cements Limited,335852.00,650.00
7,RIDI,Ridi Power Company Limited,265159.00,345.90
8,RBBF40,RBB Focus 40,259200.00,9.25
9,GBIME,Global IME Bank Limited,236991.00,242.00
10,KBL,Kumari Bank Limited,230009.00,212.00
11,SEF,Siddhartha Equity Fund,220868.00,9.20
12,NHPC,National Hydro Power Company Limited,188666.00,254.60
13,API,Api Power Company Limited,177092.00,325.90
14,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,176382.00,401.00
15,SOHL,Solu Hydropower Limited,160615.00,660.00
