label,value
Total Turnovers (Rs.),"3,786,455,070.27"
Total Traded Shares,"10,626,370"
Total Transaction,"52,575"
Total Scrips Traded,348
Total Market Cap (Rs.),"4,398,915.85 Millions"
Floated Market Cap (Rs.),"1,482,018.78 Millions"
