rank,symbol,company_name,transactions,ltp
1,RHPL,Rasuwagadhi Hydropower Company Limited,1996,188.00
2,CHCL,Chilime Hydro power Company Limited,1981,405.00
3,SHIVM,Shivam Cements Limited,1682,650.00
4,MEPDL,Mount Everest Power Development Limited,1634,675.00
5,SGHL,Sanigad Hydro Limited,1411,493.80
6,PCIL,Palpa Cements Industries Limited,1181,621.00
7,SOHL,Solu Hydropower Limited,1104,660.00
8,SONA,Sonapur Minerals and Oil Limited,944,408.00
9,KAHL,Kalanga Hydro Limited,874,502.50
10,GCIL,Ghorahi Cement Industry Limited,856,370.00
11,SOPL,Sopan Pharmaceuticals Limited,763,758.00
12,HRL,Himalayan Reinsurance Limited,720,537.40
13,SJCL,Sanjen Jalavidhyut Company Limited,661,227.00
14,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,645,509.00
15,AKJCL,Ankhukhola Hydropower Company Limited,633,343.00
