rank,symbol,company_name,close,change,change_percent
1,UHEWA,Upper Hewakhola Hydropower Company Limited,604.00,-63.00,-9.45
2,TVCL,Trishuli Jal Vidhyut Company Limited,354.00,-36.00,-9.23
3,HEIP,Himalayan Everest Insurance Limited Promoter,309.30,-29.40,-8.68
4,ENL,Emerging Nepal Limited,764.00,-69.90,-8.38
5,RHPL,Rasuwagadhi Hydropower Company Limited,188.00,-17.20,-8.38
6,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,345.00,-30.00,-8.00
7,MKJC,Mailung Khola Jal Vidhyut Company Limited,325.00,-27.30,-7.75
8,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,401.00,-25.00,-5.87
9,KHPL,Kalinchowk Hydropower Limited,760.00,-43.00,-5.35
10,CHCL,Chilime Hydro power Company Limited,405.00,-22.00,-5.15
11,RSY,Reliable Samriddhi Yojana,9.44,-0.49,-4.93
12,ECL,Everest Colour Limited,1400.00,-65.00,-4.44
13,MANDU,Mandu Hydropower Limited,700.10,-32.30,-4.41
14,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1369.00,-61.00,-4.27
15,MMF1,Mega Mutual Fund - 1,8.70,-0.37,-4.08
