rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,42,Sani Securities Company Limited,297268957.70,309336218.00,606605175.70,-12067260.300000012,333029599.60
2,58,Naasa Securities Co. Ltd.,240545318.25,284263882.30,524809200.55,-43718564.05000001,41071437.00
3,45,Imperial Securities Co. Limited,106284352.00,158632868.20,264917220.20,-52348516.19999999,10620761.20
4,34,Vision Securities Pvt.Limited,113863882.70,131738530.88,245602413.58,-17874648.179999992,5303462.00
5,44,Dynamic Money Managers Securities Pvt.Ltd,100974762.60,127925623.30,228900385.90,-26950860.700000003,18654190.00
6,49,Online Securities Limited,107585205.80,116449353.50,224034559.30,-8864147.700000003,10550839.80
7,48,Trishakti Securities Public Limited,110843140.00,103520802.10,214363942.10,7322337.900000006,13825917.60
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,94780051.00,93240662.30,188020713.30,1539388.700000003,2229327.60
9,56,Sri Hari Securities Pvt.Ltd,75438172.40,95224886.40,170663058.80,-19786714.0,20049528.80
10,35,Kohinoor Investment and Securities Pvt.Ltd,94979827.40,68002815.70,162982643.10,26977011.700000003,7103717.60
11,28,Shree Krishna Securities Limited,62118497.70,98175452.65,160293950.35,-36056954.95,653372.00
12,57,Arya Tara Investment And Securities Pvt. Ltd.,78098642.30,82186389.00,160285031.30,-4087746.700000003,2933757.80
13,17,ABC Securities Pvt. Limited,93980448.40,64881616.04,158862064.44,29098832.360000007,3919168.00
14,26,Asian Securities Pvt. Limited,77157678.80,77364736.60,154522415.40,-207057.79999999702,3114153.00
15,32,Premier Securites Company Limited,81636949.50,71766361.50,153403311.00,9870588.0,2199179.80
