rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,1054.70,137.50,14.99
2,CREST,Crest Micro Life Insurance Limited,1253.00,163.00,14.95
3,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,742.00,42.00,6.00
4,ECL,Everest Colour Limited,1406.00,76.00,5.71
5,KHPL,Kalinchowk Hydropower Limited,778.00,41.00,5.56
6,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,439.00,20.10,4.80
7,SPHL,Sayapatri Hydropower Limited,580.00,19.00,3.39
8,RBBF40,RBB Focus 40,9.30,0.30,3.33
9,SNORL,Snow Rivers Limited,910.00,28.00,3.17
10,KEF,Kumari Equity Fund,10.00,0.30,3.09
11,CZBILP,Citizens Bank International Limited Promoter Share,103.00,3.00,3.00
12,CIZBD90,10% Citizens Bank Debenture 2090,1261.00,36.00,2.94
13,KSY,Kumari Sabal Yojana,9.47,0.27,2.93
14,NMBUR93/94,4% NMB Urja Rinpatra (Energy Bond II) 2093/94,990.00,28.00,2.91
15,HEIP,Himalayan Everest Insurance Limited Promoter,339.00,8.90,2.70
