rank,symbol,company_name,turnover,ltp
1,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,900797028.20,439.00
2,RSML,Reliance Spinning Mills Limited,177168694.10,2727.00
3,SOHL,Solu Hydropower Limited,137605652.20,679.00
4,SMHL,Super Madi Hydropower Limited,128576467.30,524.80
5,RIDI,Ridi Power Company Limited,122513989.50,351.90
6,AKJCL,Ankhukhola Hydropower Company Limited,97961677.50,347.10
7,CGH,Chandragiri Hills Limited,77419721.20,775.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,77296771.00,480.40
9,SANIMA,Sanima Bank Limited,73455482.70,370.70
10,SHIVM,Shivam Cements Limited,50583296.70,621.40
11,NGPL,Ngadi Group Power Limited,50271609.60,404.00
12,SAHAS,Sahas Urja Limited,49301264.60,685.00
13,SYPNL,SY Panel Nepal Limited,48401085.70,1241.90
14,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,47339916.70,1596.00
15,BHCL,Bikash Hydropower Company Limited,43130889.70,553.00
