rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,230433125.20,996120619.20,1226553744.40,-765687494.0,323782467.60
2,58,Naasa Securities Co. Ltd.,323829148.70,284014176.10,607843324.80,39814972.599999964,39285447.92
3,42,Sani Securities Company Limited,229066702.80,116462496.90,345529199.70,112604205.9,4282143.00
4,64,SUN SECURITIES PVT LTD,162498345.50,168462028.70,330960374.20,-5963683.199999988,5618127.40
5,49,Online Securities Limited,161128878.40,124998788.50,286127666.90,36130089.900000006,8737796.00
6,45,Imperial Securities Co. Limited,112284850.50,121728841.80,234013692.30,-9443991.299999997,10963787.60
7,34,Vision Securities Pvt.Limited,115673836.80,114708522.60,230382359.40,965314.200000003,22774644.60
8,62,Capital Max Securities Limited,86572379.30,136385516.70,222957896.00,-49813137.39999999,49415260.00
9,48,Trishakti Securities Public Limited,112987726.10,98730133.50,211717859.60,14257592.599999994,25351095.00
10,44,Dynamic Money Managers Securities Pvt.Ltd,103694765.40,80384557.00,184079322.40,23310208.400000006,2771148.00
11,14,Nepal Stock House Pvt. Limited,107762619.44,64188348.38,171950967.82,43574271.059999995,6762874.80
12,77,Nabil Stock Dealer Limited,86565649.50,79284767.20,165850416.70,7280882.299999997,1383776.00
13,35,Kohinoor Investment and Securities Pvt.Ltd,70819611.60,71614015.80,142433627.40,-794404.200000003,4227728.60
14,57,Arya Tara Investment And Securities Pvt. Ltd.,75649874.80,59586518.20,135236393.00,16063356.599999994,2241604.40
15,56,Sri Hari Securities Pvt.Ltd,56738127.20,61729086.50,118467213.70,-4990959.299999997,16891282.00
