label,value
Total Turnovers (Rs.),"4,109,751,730.03"
Total Traded Shares,"10,044,164"
Total Transaction,"46,589"
Total Scrips Traded,357
Total Market Cap (Rs.),"4,462,503.05 Millions"
Floated Market Cap (Rs.),"1,505,563.79 Millions"
