Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,598.47","2,608.73","2,588.11","2,594.27",-5.30,-0.20,"4,109,751,730.02"
Sensitive Index,458.53,460.17,456.84,457.67,-0.50,-0.11,"931,770,687.40"
Float Index,178.38,178.98,177.60,178.05,-0.37,-0.20,"4,083,299,567.60"
Sensitive Float Index,154.94,155.38,154.30,154.61,-0.20,-0.13,"931,770,687.40"
Banking SubIndex,"1,437.09","1,442.70","1,434.01","1,437.13",-0.53,-0.03,"326,590,602.90"
Development Bank Index,"5,475.27","5,480.21","5,429.39","5,460.40",4.84,0.08,"158,255,901.90"
Finance Index,"2,294.32","2,311.96","2,273.81","2,279.00",-21.06,-0.91,"76,415,210.50"
Hotels And Tourism,"7,208.88","7,225.66","7,116.86","7,162.44",-51.60,-0.71,"163,111,918.20"
HydroPower Index,"3,677.87","3,699.18","3,652.43","3,665.62",-15.81,-0.42,"2,493,032,326.80"
Investment,95.19,95.32,94.44,95.04,-0.08,-0.08,"121,866,716.90"
Life Insurance,"11,499.04","11,538.76","11,413.15","11,488.28",-10.65,-0.09,"91,461,022.70"
Manufacturing And Processing,"10,292.16","10,354.39","10,250.74","10,275.27",-30.75,-0.29,"388,548,806.40"
Microfinance Index,"4,454.72","4,470.40","4,435.18","4,453.33",-12.25,-0.27,"163,815,169.00"
Mutual Fund,20.54,20.54,20.34,20.43,-0.10,-0.53,"10,567,658.03"
Non Life Insurance,"10,302.38","10,381.89","10,271.46","10,339.65",37.26,0.36,"50,884,187.80"
Others Index,"1,888.87","1,909.07","1,883.29","1,885.35",-3.52,-0.18,"46,701,327.30"
Trading Index,"3,236.69","3,255.08","3,217.98","3,217.98",-18.70,-0.57,"2,616,377.20"
