rank,symbol,company_name,volume,ltp
1,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,2212363.00,439.00
2,RIDI,Ridi Power Company Limited,344936.00,351.90
3,AKJCL,Ankhukhola Hydropower Company Limited,280618.00,347.10
4,SMHL,Super Madi Hydropower Limited,246169.00,524.80
5,SOHL,Solu Hydropower Limited,202485.00,679.00
6,SANIMA,Sanima Bank Limited,200121.00,370.70
7,BHL,Balephi Hydropower Limited,169712.00,204.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,161614.00,480.40
9,KBL,Kumari Bank Limited,143906.00,214.00
10,PRSF,Prabhu Smart Fund,142750.00,12.75
11,H8020,Himalayan 80-20,133620.00,12.19
12,NHPC,National Hydro Power Company Limited,127057.00,258.80
13,NGPL,Ngadi Group Power Limited,125020.00,404.00
14,RBBF40,RBB Focus 40,123752.00,9.30
15,GBIME,Global IME Bank Limited,118818.00,244.80
