rank,symbol,company_name,transactions,ltp
1,MEPDL,Mount Everest Power Development Limited,3541,699.00
2,SGHL,Sanigad Hydro Limited,1766,511.80
3,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,1293,439.00
4,SMHL,Super Madi Hydropower Limited,1126,524.80
5,SOHL,Solu Hydropower Limited,1067,679.00
6,KAHL,Kalanga Hydro Limited,1035,503.00
7,CORBL,Corporate Development Bank Limited,724,907.90
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,722,529.00
9,SOPL,Sopan Pharmaceuticals Limited,661,748.00
10,SNORL,Snow Rivers Limited,634,910.00
11,PCIL,Palpa Cements Industries Limited,610,600.00
12,ECL,Everest Colour Limited,549,1406.00
13,RIDI,Ridi Power Company Limited,520,351.90
14,RSML,Reliance Spinning Mills Limited,501,2727.00
15,AKJCL,Ankhukhola Hydropower Company Limited,495,347.10
