rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,1704,518.20
2,LEC,Liberty Energy Company Limited,1074,230.70
3,SOHL,Solu Hydropower Limited,1065,671.00
4,PRVU,Prabhu Bank Limited,1065,187.00
5,BHCL,Bikash Hydropower Company Limited,878,522.10
6,KAHL,Kalanga Hydro Limited,854,536.00
7,GHL,Ghalemdi Hydro Limited,816,249.00
8,KKHC,Khani Khola Hydropower Company Limited,798,352.30
9,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,607,542.00
10,RIDI,Ridi Power Company Limited,599,367.90
11,SOPL,Sopan Pharmaceuticals Limited,585,796.00
12,SKHL,Super Khudi Hydropower Limited,574,870.00
13,PCIL,Palpa Cements Industries Limited,565,639.00
14,YMHL,Yambaling Hydropower Limited,536,623.00
15,CITY,City Hotel Limited,521,365.00
