Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,649.24","2,653.48","2,638.64","2,643.83",-7.37,-0.27,"4,275,675,402.84"
Sensitive Index,463.73,465.54,463.08,464.73,0.13,0.02,"1,143,733,738.80"
Float Index,182.17,182.31,181.37,181.76,-0.40,-0.22,"3,544,682,057.11"
Sensitive Float Index,157.13,157.53,156.80,157.13,-0.19,-0.12,"1,143,733,738.80"
Banking SubIndex,"1,470.24","1,470.33","1,454.56","1,458.99",-2.15,-0.14,"354,582,002.80"
Development Bank Index,"5,589.95","5,610.24","5,565.92","5,583.79",-18.56,-0.33,"152,013,946.70"
Finance Index,"2,373.14","2,400.61","2,366.00","2,374.89",-17.69,-0.73,"198,441,835.90"
Hotels And Tourism,"7,363.35","7,399.19","7,317.32","7,338.95",-24.40,-0.33,"97,770,172.20"
HydroPower Index,"3,728.43","3,742.22","3,719.40","3,727.72",-13.04,-0.34,"2,002,888,726.01"
Investment,97.09,98.63,97.05,97.32,-0.90,-0.92,"166,627,081.60"
Life Insurance,"11,782.12","11,861.63","11,760.98","11,803.83",32.39,0.27,"60,449,369.40"
Manufacturing And Processing,"10,283.66","10,419.76","10,279.58","10,342.91",-40.04,-0.38,"260,881,154.50"
Microfinance Index,"4,560.99","4,576.80","4,545.91","4,576.54",13.21,0.28,"144,962,450.10"
Mutual Fund,20.90,21.02,20.86,20.95,0.05,0.24,"5,266,770.23"
Non Life Insurance,"10,631.69","10,637.61","10,558.80","10,585.05",-46.64,-0.43,"23,690,329.60"
Others Index,"1,923.86","1,929.94","1,914.30","1,929.84",8.51,0.44,"75,006,024.30"
Trading Index,"3,325.58","3,334.66","3,237.51","3,239.86",-85.71,-2.57,"7,368,964.00"
