label,value
Total Turnovers (Rs.),"4,275,675,402.84"
Total Traded Shares,"9,754,403"
Total Transaction,"43,060"
Total Scrips Traded,344
Total Market Cap (Rs.),"4,547,752.71 Millions"
Floated Market Cap (Rs.),"1,536,968.99 Millions"
