rank,symbol,company_name,close,change,change_percent
1,SKHL,Super Khudi Hydropower Limited,870.00,-128.00,-12.83
2,CSY,Citizens Santulit Yojana,8.25,-0.75,-8.33
3,SDBD87,"9% Shangrila Development Bank Debenture, 2087",1167.70,-73.30,-5.91
4,ULHC,Upper Lohore Khola Hydropower Company Limited,342.00,-17.00,-4.74
5,MEHL,Manakamana Engineering Hydropower Limited,279.00,-9.70,-3.36
6,SBLD83,10.25% SBL Debenture 2083,1006.20,-31.80,-3.06
7,NICD83/84,10.25% NIC ASIA Debenture 2083/84,1005.30,-31.70,-3.06
8,GUFL,Gurkhas Finance Limited,551.00,-17.10,-3.01
9,HEIP,Himalayan Everest Insurance Limited Promoter,320.10,-9.90,-3.00
10,SLCF,Sanima Large Cap Fund,9.70,-0.30,-3.00
11,BGWT,Bhagawati Hydropower Development Company Limited,514.10,-15.90,-3.00
12,GHL,Ghalemdi Hydro Limited,249.00,-7.70,-3.00
13,BBC,Bishal Bazar Company Limited,4080.00,-120.00,-2.86
14,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,722.90,-20.70,-2.78
15,SAGAR,Sagar Distillery Limited,1653.00,-47.00,-2.76
