rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,85407374.10,826983291.70,912390665.80,-741575917.6,18562966.40
2,58,Naasa Securities Co. Ltd.,268167493.94,318252980.58,586420474.52,-50085486.639999986,55775376.56
3,63,Himalayan Brokerage Company Limited,420026504.10,20284317.50,440310821.60,399742186.6,53200.00
4,69,INDEX SECURITIES LIMITED,334192166.00,15604221.34,349796387.34,318587944.66,1472310.00
5,44,Dynamic Money Managers Securities Pvt.Ltd,120737658.00,152383372.90,273121030.90,-31645714.900000006,37083068.20
6,48,Trishakti Securities Public Limited,105152022.00,149081196.47,254233218.47,-43929174.47,7605234.20
7,45,Imperial Securities Co .Pvt.Limited,131438561.60,120360206.10,251798767.70,11078355.5,7426474.40
8,42,Sani Securities Company Limited,131930647.51,103398780.00,235329427.51,28531867.510000005,6171680.00
9,49,Online Securities Limited,80548238.90,139156298.30,219704537.20,-58608059.400000006,3783837.80
10,34,Vision Securities Pvt.Limited,113632194.00,102323087.98,215955281.98,11309106.019999996,6711976.80
11,62,Capital Max Securities Limited,93994404.30,116758907.70,210753312.00,-22764503.400000006,30567435.40
12,35,Kohinoor Investment and Securities Pvt.Ltd,92748712.70,96587285.70,189335998.40,-3838573.0,2185261.40
13,14,Nepal Stock House Pvt. Limited,99446138.70,70138340.40,169584479.10,29307798.299999997,3092205.60
14,74,KALASH STOCK MARKET PVT. LTD.,116326701.00,38035437.80,154362138.80,78291263.2,4683592.00
15,92,Roadshow securities limited,111118370.50,37916334.30,149034704.80,73202036.2,136000.00
