rank,symbol,company_name,close,change,change_percent
1,MEPDL,Mount Everest Power Development Limited,456.20,59.50,15.00
2,SAPIL,Sarvottam Paints Industries Limited,396.70,51.70,14.99
3,KKHC,Khani Khola Hydropower Company Limited,352.30,32.30,10.09
4,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,830.00,54.00,6.96
5,BHCL,Bikash Hydropower Company Limited,522.10,33.50,6.86
6,NICGF2,NIC Asia Growth Fund 2,9.50,0.51,5.67
7,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1355.00,55.00,4.23
8,RLEL,Ridge Line Energy Limited,890.00,35.00,4.09
9,LSH12,LS Horizon 12,9.38,0.35,3.88
10,SPL,Shuvam Power Limited,658.00,19.40,3.04
11,SBLD2091,7.25% SBL Debenture 2091,1062.00,30.90,3.00
12,SFEF,Sunrise Focused Equity Fund,10.10,0.29,2.96
13,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1428.60,38.60,2.78
14,LEC,Liberty Energy Company Limited,230.70,6.20,2.76
15,MANDU,Mandu Hydropower Limited,833.90,22.00,2.71
