rank,symbol,company_name,turnover,ltp
1,ADBLB87,4% Agricultural Bond 2087,708799000.00,1016.00
2,KKHC,Khani Khola Hydropower Company Limited,179898396.40,352.30
3,LEC,Liberty Energy Company Limited,165618986.20,230.70
4,NGPL,Ngadi Group Power Limited,109004539.00,414.90
5,NRN,NRN Infrastructure and Development Limited,108980318.30,1390.00
6,CFCL,Central Finance Limited,108329942.00,639.00
7,SOHL,Solu Hydropower Limited,107033793.20,671.00
8,RIDI,Ridi Power Company Limited,97429985.60,367.90
9,RADHI,Radhi Bidyut Company Limited,85341541.30,724.00
10,BHCL,Bikash Hydropower Company Limited,82215575.20,522.10
11,GHL,Ghalemdi Hydro Limited,79270186.40,249.00
12,UMHL,United Modi Hydropower Limited,70573196.90,585.00
13,PRVU,Prabhu Bank Limited,65033208.30,187.00
14,API,Api Power Company Limited,64419277.70,332.90
15,NHPC,National Hydro Power Company Limited,59200608.60,268.00
