rank,symbol,company_name,volume,ltp
1,LEC,Liberty Energy Company Limited,723736.00,230.70
2,ADBLB87,4% Agricultural Bond 2087,700000.00,1016.00
3,KKHC,Khani Khola Hydropower Company Limited,552452.00,352.30
4,PRVU,Prabhu Bank Limited,348024.00,187.00
5,GHL,Ghalemdi Hydro Limited,314454.00,249.00
6,RIDI,Ridi Power Company Limited,264116.00,367.90
7,NGPL,Ngadi Group Power Limited,262237.00,414.90
8,NHPC,National Hydro Power Company Limited,219724.00,268.00
9,API,Api Power Company Limited,194581.00,332.90
10,CFCL,Central Finance Limited,169405.00,639.00
11,AKJCL,Ankhukhola Hydropower Company Limited,161617.00,360.00
12,BHCL,Bikash Hydropower Company Limited,158720.00,522.10
13,SOHL,Solu Hydropower Limited,158405.00,671.00
14,KBL,Kumari Bank Limited,155077.00,216.80
15,CITY,City Hotel Limited,150226.00,365.00
